"TimeStamp","FrameCounter","AccX","AccY","AccZ","QuatW","QuatX","QuatY","QuatZ"
"0.5","50","0.35","-0.92","0.117","0.5974999999999999","-0.722","-0.3471","-0.032600000000000004"
"0.5","50","-1.019","0.028","0.072","-0.2162","0.6223","-0.1916","0.7273"
"0.5","45","0.061","0.989","-0.095","0.6312","0.6008","0.3007","-0.3874"
"0.51","51","-0.179","-0.388","-0.901","0.577","-0.23620000000000002","-0.6656","0.41"
"0.51","51","0.312","0.096","-0.966","0.9833999999999999","-0.0955","-0.0967","0.1197"
"0.51","51","-0.002","-1.008","-0.011","0.6255","-0.6546000000000001","-0.3147","-0.2846"
"0.51","51","0.348","-0.921","0.116","0.5977","-0.7219","-0.34700000000000003","-0.032600000000000004"
"0.51","51","-1.024","0.035","0.075","-0.21749999999999997","0.6221","-0.1926","0.7269"
"0.51","46","0.063","0.992","-0.095","0.6313","0.6008","0.3006","-0.3874"
"0.52","52","-0.171","-0.377","-0.9","0.5774","-0.2364","-0.6652","0.40990000000000004"
"0.52","52","0.306","0.094","-0.963","0.9833999999999999","-0.0958","-0.097","0.1193"
"0.52","52","-0.004","-0.996","-0.008","0.6256","-0.6546000000000001","-0.3146","-0.2846"
"0.52","52","0.345","-0.92","0.117","0.5978","-0.7219","-0.3468","-0.0325"
"0.52","52","-1.031","0.04","0.077","-0.21880000000000002","0.6218","-0.1937","0.7264999999999999"
"0.52","47","0.063","0.994","-0.098","0.6313","0.6008","0.3006","-0.38730000000000003"
"0.53","53","-0.152","-0.38","-0.901","0.5778","-0.23690000000000003","-0.6647000000000001","0.40990000000000004"
"0.53","53","0.312","0.086","-0.955","0.9833999999999999","-0.09609999999999999","-0.0975","0.11879999999999999"
"0.53","53","-0.003","-0.986","-0.005","0.6256999999999999","-0.6546000000000001","-0.3145","-0.2846"
"0.53","53","0.339","-0.92","0.12","0.5979","-0.7219","-0.3467","-0.0324"
"0.53","53","-1.026","0.044","0.077","-0.2202","0.6214999999999999","-0.19490000000000002","0.726"
"0.53","48","0.06","0.995","-0.101","0.6314","0.6008","0.3005","-0.3872"
